tag,total_samples,correct,incorrect,accuracy
correction_application_current_status,38,18,20,0.4737
new_voter_apply_online_what_documents_needed,38,19,19,0.5000
card_information_correction,38,20,18,0.5263
online_application_pending,38,20,18,0.5263
goodbye,38,21,17,0.5526
card_correction_request_failed_query_regarding_repayment_fees,38,22,16,0.5789
delayed_question_prompt,38,22,16,0.5789
greetings,38,22,16,0.5789
new_voter_online_what_documents_to_submit,38,22,16,0.5789
photo_done_years_ago_but_no_card,38,23,15,0.6053
wish_to_create_nid_smart_card_new,38,24,14,0.6316
smart_card_fee,38,24,14,0.6316
closing_statement,38,25,13,0.6579
card_correction_request_failed_query_regarding_refund_fees,38,27,11,0.7105
husband_name_previous_card,38,27,11,0.7105
account_locked,38,28,10,0.7368
no_husband_name_in_smart_card,38,28,10,0.7368
nid_information_misentry_correction_procedure,38,28,10,0.7368
smart_card_lost_how_to_get_new_one_again,38,28,10,0.7368
voter_slip_lost_how_to_get_nid,38,28,10,0.7368
card_correction_request_canceled_by_consumer_regarding_refund_fees,38,28,10,0.7368
smart_card_collection_fees,38,28,10,0.7368
correction_application_status,38,29,9,0.7632
eight_hours_time_up,38,29,9,0.7632
whom_to_communicate_for_dual_citizenship_certificate,38,30,8,0.7895
picture_done_but_lost_or_no_sms_slip,38,30,8,0.7895
greeting_and_request_for_question,38,30,8,0.7895
new_nid_card_age,38,30,8,0.7895
request_for_feedback_or_suggestions,38,30,8,0.7895
online_card_correction,38,31,7,0.8158
nid_adjudication_pending,38,31,7,0.8158
receipt_lost_how_to_get_new_card,38,32,6,0.8421
smart_card_distributed_in_my_area_but_my_card_not_received,38,32,6,0.8421
nid_registration_age,38,32,6,0.8421
correction_slip_lost_can_get_card,38,32,6,0.8421
service_provided,38,32,6,0.8421
correction_application_rejected_need_new_fee,38,33,5,0.8684
not_getting_smart_card_though_newer_voter_getting,38,33,5,0.8684
smart_card_lost_reissue,38,33,5,0.8684
voter_migration_done_now_what_to_do_for_reissue,38,33,5,0.8684
card_lost_new_card_fee,38,33,5,0.8684
underaged_card_holder_to_voter,38,33,5,0.8684
card_lost_and_damaged_cost,38,34,4,0.8947
ministry_provide_dual_citizenship_certificate,38,34,4,0.8947
no_face_verification,38,34,4,0.8947
online_previously_registered,38,34,4,0.8947
age_and_dob_correction,38,34,4,0.8947
account_locked_retrials,38,34,4,0.8947
ask_if_any_other_questions,38,34,4,0.8947
card_damaged_how_to_get_new_card,38,34,4,0.8947
warning_to_prank_caller,38,34,4,0.8947
new_voter_smart_card_how_to_get,38,34,4,0.8947
smart_card_status,38,34,4,0.8947
new_voter_fees,38,35,3,0.9211
nid_wallet_download,38,35,3,0.9211
no_android_phone,38,35,3,0.9211
new_voter_no_messages_from_upzila_or_thana,38,35,3,0.9211
foreign_resident_nid_adjudication_pending,38,35,3,0.9211
address_change_online_new,38,35,3,0.9211
photo_correction,38,35,3,0.9211
request_for_clear_pronunciation,38,35,3,0.9211
online_card_correction_application_done_now_what,38,35,3,0.9211
address_change_card_download_process,38,35,3,0.9211
double_voter_registration_issue,38,35,3,0.9211
new_voter_pre_condition,38,35,3,0.9211
how_to_apply_for_correction_in_online_portal,38,35,3,0.9211
photo_signature_change_application_not_approved,38,35,3,0.9211
card_avail_after_address_change,38,35,3,0.9211
login_using_old_id_password,38,36,2,0.9474
nrb_application_status,38,36,2,0.9474
previous_information_in_downloaded_card_after_correction,38,36,2,0.9474
foreign_resident_card_registration_required_documents,38,36,2,0.9474
new_voter_application_not_submitted_to_upazila_or_thana_office,38,36,2,0.9474
necessary_documents_to_modify_voter_area,38,36,2,0.9474
voter_area_change_ongoing,38,36,2,0.9474
educational_qualification_correction,38,36,2,0.9474
reissue_apply_why_pending_and_urgent_reissue_seven_days_over,38,36,2,0.9474
photo_sms_but_not_in_upzila_other_when,38,36,2,0.9474
parents_or_spouse_death_related_documents_to_declare_death,38,36,2,0.9474
online_new_voter_registration,38,36,2,0.9474
online_portal_registration,38,36,2,0.9474
foreign_resident_card_registration_process,38,36,2,0.9474
nid_wallet_download_iphone,38,36,2,0.9474
new_voter_card_getting_time,38,36,2,0.9474
permanent_address_change_process_duration,38,36,2,0.9474
whether_nid_card_required_for_dual_citizenship,38,36,2,0.9474
online_no_apply,38,36,2,0.9474
information_correct_but_account_locked,38,36,2,0.9474
how_to_complain_not_getting_help_from_election_office,38,36,2,0.9474
new_voter_how_to_get_card,38,36,2,0.9474
voter_area_change,38,36,2,0.9474
smart_card_collect_by_other,38,36,2,0.9474
updated_nid_after_correction,38,36,2,0.9474
voter_slip_lost_how_to_get_new_card,38,36,2,0.9474
new_voter_can_not_download_card_with_form_number,38,36,2,0.9474
foreign_resident_card_picture_done__inquery_done_no_msg_new,38,36,2,0.9474
bkash_mfs_payment_process,38,36,2,0.9474
profession_change,38,37,1,0.9737
signature_correction,38,37,1,0.9737
foreign_resident_action_after_biometrics_new,38,37,1,0.9737
card_lost_no_info_how_to_get_new,38,37,1,0.9737
husband_talak_name_remove,38,37,1,0.9737
card_correction_fees,38,37,1,0.9737
font_problem_in_new_voter_registration_form,38,37,1,0.9737
how_many_wife_name_can_be_added_in_nid_card,38,37,1,0.9737
new_card_got_old_card_found_what_to_do,38,37,1,0.9737
permanent_address_new,38,37,1,0.9737
no_otp_in_registration,38,37,1,0.9737
fingerprint_error_info_not_found,38,37,1,0.9737
new_voter_card_not_taken_has_form_no_can_not_register_online,38,37,1,0.9737
blood_group_correction,38,37,1,0.9737
no_upzila_in_online_registration,38,37,1,0.9737
smart_card_selected_but_get_pdf,38,37,1,0.9737
card_reissue_fees,38,37,1,0.9737
voter_area_change_not_reflected,38,37,1,0.9737
softwere_bug_in_card_processing_system,38,37,1,0.9737
smart_card_from_where,38,37,1,0.9737
faster_voter_registration,38,37,1,0.9737
