question,tag
তুমি কিভাবে কথা বলো?,irrelevant
আপনার ধর্ম কি?,irrelevant
আমি কি আপনার একটা ছবি দেখতে পারি?,irrelevant
আপনার কি ফেসবুক আছে?,irrelevant
তুমি কি ব্যায়াম করো?,irrelevant
তুমি কি সিনেমা দেখো?,irrelevant
তুমি কতটুকু লাফ দিতে পারো?,irrelevant
তুমি কি ফ্যান চালাও?,irrelevant
আপনি কি কোন গান জানেন?,irrelevant
তোমার পছন্দের প্রাণী কী?,irrelevant
তুমি আমার বন্ধু হতে চাও?,irrelevant
তোমার গায়ের রঙ কেমন?,irrelevant
তুমি কি গান বাজাতে পারো?,irrelevant
আপনার পুরো নাম কি?,irrelevant
তুমি স্বপ্নে কী দেখো?,irrelevant
তোমার চোখের রঙ কী?,irrelevant
তুমি কি আকাশে উড়তে পারো?,irrelevant
আমার ভবিষ্যত কি,irrelevant
আপনি আজকে কি কি করলেন,irrelevant
তোমার প্রিয় আইসক্রিম ফ্লেভার কী?,irrelevant
তুমি কোন ক্লাসে পড়ো?,irrelevant
তুমি ঘুমাও কখন?,irrelevant
তুমি কি ভূত দেখেছো?,irrelevant
তুমি কি কমিক পড়ো?,irrelevant
তুমি কি ভ্রমণ করো?,irrelevant
আপনার কি মন ভালো,irrelevant
তুমি কোন দেশে থাকো?,irrelevant
তুমি কী খাও?,irrelevant
আপনার কি কোন ডাকনাম আছে?,irrelevant
তুমি কি দুষ্টু?,irrelevant
তুমি কোন স্কুলে পড়ো?,irrelevant
আপনার বয়স কত,irrelevant
তোমার কি ঠান্ডা লেগেছে?,irrelevant
আপনি কি আমাকে কিছু টাকা ধার দিতে পারবেন?,irrelevant
আপনার সাথে এর বাইরে কিভাবে যোগাযোগ করতে পারি,irrelevant
সঞ্চয় করার সবচেয়ে ভালো উপায় কি,irrelevant
তুমি কি পানি খাও?,irrelevant
আপনি কোন ধরণের উপহার পছন্দ করো??,irrelevant
তোমার রুমের রঙ কী?,irrelevant
তোমার কণ্ঠস্বর কেমন?,irrelevant
তোমার প্রিয় হিরো কে?,irrelevant
আমার জীবনে এত দুঃখ কেন?,irrelevant
তুমি কি বৃষ্টি ভালোবাসো?,irrelevant
তুমি কি সেলফি তুলতে পারো?,irrelevant
তুমি কি ধাঁধা পছন্দ করো?,irrelevant
তুমি কি জুতো পরো?,irrelevant
তুমি কি কবিতা বোঝো?,irrelevant
মৃত্যুর পরে কি আছে,irrelevant
তুমি কি খেলা খেলো?,irrelevant
তুমি কিভাবে হাঁসো?,irrelevant
আপনি কি কখনও প্রেমে পড়েছেন,irrelevant
তুমি কি পশু ভালোবাসো?,irrelevant
তুমি কি হাঁ করতে পারো?,irrelevant
তুমি কি ম্যাজিক দেখাও?,irrelevant
পৃথিবীতে কয়টি দেশ আছে?,irrelevant
তুমি কি প্রেমে পড়ো?,irrelevant
এখন ক’টা বাজে?,irrelevant
তুমি কি নাচতে পারো?,irrelevant
সৌন্দর্য কি বাইরে থেকে নাকি মনের,irrelevant
আপনি বর্তমানে কই থেকে কথা বলছেন,irrelevant
আপনি কি আমাকে একটা চাকরি দিতে পারবেন?,irrelevant
তোমার শখ কী?,irrelevant
তুমি কোন দেশে ঘুরতে যেতে চাও?,irrelevant
আপনি কোন কোন ভাষা বলতে পারেন?,irrelevant
তুমি কবে শেষবার গোসল করেছো?,irrelevant
তুমি কি রোবট না মানুষ?,irrelevant
তোমার জন্মদিন কবে?,irrelevant
তুমি কি টিকটক করো?,irrelevant
তুমি কোথায় থাকো?,irrelevant
তুমি কি বিয়ে করেছো?,irrelevant
তুমি কি চকলেট খাও?,irrelevant
তুমি কোথায় যাচ্ছো এখন?,irrelevant
তুমি কি আব্বু আম্মুর কথা শুনো?,irrelevant
তুমি কোথায় বেড়াতে যাও?,irrelevant
তুমি গান গাইতে পারো?,irrelevant
তুমি কি ঘর ধোও?,irrelevant
তোমার প্রিয় খেলোয়াড় কে?,irrelevant
তুমি কি কখনো স্কুল পালিয়েছো?,irrelevant
তোমার বান্ধবী আছে?,irrelevant
তোমার ঘরের তাপমাত্রা কত?,irrelevant
আমি কিভাবে ওজন কমাতে পারি?,irrelevant
কই ঘুরতে যেতে পারি,irrelevant
কোন দেশ সবচেয়ে ধনী?,irrelevant
এখন কয়টা বাজে?,irrelevant
তুমি কি কবিতা লেখো?,irrelevant
আপনি এই চাকরি তে কতদিন,irrelevant
তুমি কি প্রেমে পড়েছো কখনো?,irrelevant
এই কারণে কি আমার ডাক্তারের কাছে যাওয়া উচিত?,irrelevant
তোমার বয়স কত?,irrelevant
তোমার নাম কী?,irrelevant
আমি এটা কোথা থেকে শিখতে পারি?,irrelevant
এই দেশের রাজধানী কী?,irrelevant
তোমার ছুটির দিন কখন?,irrelevant
এই জায়গায় বাড়ির কেমন দাম,irrelevant
তুমি কখন ঘুমাও?,irrelevant
আমি কিভাবে দ্রুত টাকা আয় করতে পারি?,irrelevant
বাংলাদেশের বর্তমান পরিস্থিতি আপনার কি মতামত,irrelevant
আপনি কি একজন আসল মানুষ,irrelevant
আপনি এই চাকরি তে কত করে পান,irrelevant
তোমার বাবা মা কে?,irrelevant
