rank,expected_tag,predicted_tag,expected_to_predicted_count,predicted_to_expected_count,bidirectional_total,pattern
1,smart_card_collection_fees,smart_card_fee,10,14,24,symmetric
2,smart_card_fee,smart_card_collection_fees,14,10,24,symmetric
3,correction_application_status,correction_application_current_status,6,16,22,asymmetric
4,correction_application_current_status,correction_application_status,16,6,22,asymmetric
5,new_voter_online_what_documents_to_submit,new_voter_apply_online_what_documents_needed,7,14,21,asymmetric
6,new_voter_apply_online_what_documents_needed,new_voter_online_what_documents_to_submit,14,7,21,asymmetric
7,card_correction_request_failed_query_regarding_refund_fees,card_correction_request_canceled_by_consumer_regarding_refund_fees,10,10,20,symmetric
8,no_husband_name_in_smart_card,husband_name_previous_card,9,11,20,symmetric
9,card_correction_request_canceled_by_consumer_regarding_refund_fees,card_correction_request_failed_query_regarding_refund_fees,10,10,20,symmetric
10,husband_name_previous_card,no_husband_name_in_smart_card,11,9,20,symmetric
11,card_correction_request_failed_query_regarding_repayment_fees,correction_application_rejected_need_new_fee,14,5,19,asymmetric
12,correction_application_rejected_need_new_fee,card_correction_request_failed_query_regarding_repayment_fees,5,14,19,asymmetric
13,reissue_apply_why_pending_and_urgent_reissue_seven_days_over,online_application_pending,2,13,15,asymmetric
14,online_application_pending,reissue_apply_why_pending_and_urgent_reissue_seven_days_over,13,2,15,asymmetric
15,smart_card_lost_how_to_get_new_one_again,smart_card_lost_reissue,8,5,13,symmetric
16,goodbye,closing_statement,6,7,13,symmetric
17,smart_card_lost_reissue,smart_card_lost_how_to_get_new_one_again,5,8,13,symmetric
18,closing_statement,goodbye,7,6,13,symmetric
19,goodbye,request_for_feedback_or_suggestions,9,3,12,asymmetric
20,nid_registration_age,new_nid_card_age,5,7,12,symmetric
