input_question,mapped_question,expected_tag,predicted_tag,cosine_similarity,classifier_confidence,prediction_source,question,primary_tag,top1_correct,topk_correct,top_k_tags,top_k_scores,top_k_sources,all_fused_tags,all_fused_scores,all_fused_sources,num_dropped
কার্ড হারানোর পরে নতুন NID নিতে কি ফি লাগবে?,হারিয়ে গেলে নতুন NID কার্ড নেওয়ার সময় কি টাকা দিতে হবে?,card_lost_and_damaged_cost,card_lost_and_damaged_cost,0.980251,0.888434,sts+classifier,কার্ড হারানোর পরে নতুন NID নিতে কি ফি লাগবে?,card_lost_and_damaged_cost,1,1,card_lost_and_damaged_cost,1.000000,sts+classifier,card_lost_and_damaged_cost|smart_card_lost_reissue|smart_card_lost_how_to_get_new_one_again|new_card_got_old_card_found_what_to_do|voter_slip_lost_how_to_get_nid|receipt_lost_how_to_get_new_card|card_damaged_how_to_get_new_card|correction_slip_lost_can_get_card|correction_application_rejected_need_new_fee|card_correction_request_failed_query_regarding_repayment_fees|card_lost_no_info_how_to_get_new|card_avail_after_address_change|reissue_supporting_document|parent_no_card_failed_to_be_voter|voter_card_damaged|smart_card_fee|instant_card_correction_fee|voter_migration_done_now_what_to_do_for_reissue|picture_done_but_lost_or_no_sms_slip|card_correction_request_canceled_by_consumer_regarding_refund_fees|address_change_card_download_process|card_correction_request_failed_query_regarding_refund_fees|service_provided|new_voter_fees,1.000000|0.002068|0.001647|0.000415|0.000392|0.000285|0.000244|0.000212|0.000119|0.000119|0.000074|0.000047|0.000044|0.000021|0.000008|0.000005|0.000003|0.000003|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,23
"নথিপত্র ক্লিয়ার, তবু কেন আবেদন গ্রহণ হলো না?","আবেদন ফাইল সম্পূর্ণ ছিল, তবু কেন নাকচ করা হলো?",all_documents_correct_but_application_rejected_why,all_documents_correct_but_application_rejected_why,0.954788,0.999868,sts+classifier,"নথিপত্র ক্লিয়ার, তবু কেন আবেদন গ্রহণ হলো না?",all_documents_correct_but_application_rejected_why,1,1,all_documents_correct_but_application_rejected_why,1.000000,sts+classifier,all_documents_correct_but_application_rejected_why|foreign_resident_card_registration_rejected|information_correct_but_account_locked|new_voter_but_card_rejected|previous_information_in_downloaded_card_after_correction|unexpected_online_problem|no_download_option_after_correction|photo_signature_change_application_not_approved|request_for_clear_pronunciation|new_voter_application_cancelled|softwere_bug_in_card_processing_system|correction_applied_but_no_category|voter_area_change_not_reflected|new_voter_apply_online_what_documents_needed|reissue_apply_why_pending_and_urgent_reissue_seven_days_over|new_voter_online_what_documents_to_submit|request_for_feedback_or_suggestions|card_correction_request_failed_query_regarding_repayment_fees|smart_card_distributed_in_my_area_but_my_card_not_received|correction_application_rejected_need_new_fee|smart_card_print_problem|face_verification_no_next_option|card_correction_request_failed_query_regarding_refund_fees|new_voter_application_not_submitted_to_upazila_or_thana_office|new_voter_no_messages_from_upzila_or_thana,1.000000|0.000057|0.000034|0.000020|0.000012|0.000004|0.000001|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
NID-এ চাকরি পরিবর্তনের এন্ট্রি কেমন করে করব?,এনআইডিতে চাকরি পরিবর্তনের ব্যাপারটা কিভাবে করা যায়?,profession_change,profession_change,0.973404,0.999995,sts+classifier,NID-এ চাকরি পরিবর্তনের এন্ট্রি কেমন করে করব?,profession_change,1,1,profession_change,1.000000,sts+classifier,profession_change|nid_information_misentry_correction_procedure|greeting_and_request_for_question|educational_qualification_correction|card_information_correction|dead_people_id_card_update|passport_number_correct_or_add_document_new|new_voter_identifier_who|cell_phone_number_correct_or_add_document_new|wish_to_create_nid_smart_card_new|service_provided|permanent_address_new|husband_name_previous_card|photo_correction|name_correction_in_nid_card|how_to_complain_not_getting_help_from_election_office|warning_to_prank_caller|present_and_permanent_address_generic_new|not_getting_smart_card_though_newer_voter_getting|request_for_clear_pronunciation|bkash_mfs_payment_process|spouse_name_correction_new|no_husband_name_in_smart_card|how_to_apply_for_correction_in_online_portal|voter_area_change,1.000000|0.000003|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
আগের লগইন ডিটেইলস কি এখনো অ্যাকসেপ্ট হচ্ছে?,পূর্বে সেট করা লগইন তথ্য কি এখনও ব্যবহার করা যাবে?,login_using_old_id_password,login_using_old_id_password,0.959131,0.997775,sts+classifier,আগের লগইন ডিটেইলস কি এখনো অ্যাকসেপ্ট হচ্ছে?,login_using_old_id_password,1,1,login_using_old_id_password,1.000000,sts+classifier,login_using_old_id_password|online_previously_registered|persent_address_correction_procedure|previous_information_in_downloaded_card_after_correction|correction_application_rejected_need_new_fee|voter_area_change_ongoing|greetings|voter_area_change_not_reflected|card_correction_request_failed_query_regarding_refund_fees|online_application_pending|new_card_got_old_card_found_what_to_do|ask_if_any_other_questions|address_change_online_new|card_correction_one_information_maximum_limit|voter_area_change_online|unexpected_online_problem|photo_sms_but_not_in_upzila_other_when|card_correction_request_failed_query_regarding_repayment_fees|card_correction_request_canceled_by_consumer_regarding_refund_fees|account_locked_retrials|nid_wallet_download|softwere_bug_in_card_processing_system|closing_statement|voter_halnagad_registration_not_done|goodbye,1.000000|0.001259|0.000449|0.000143|0.000068|0.000063|0.000049|0.000041|0.000020|0.000013|0.000011|0.000008|0.000008|0.000005|0.000004|0.000003|0.000003|0.000003|0.000001|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
এম্বাসিতে এনরোলমেন্টের পর কার্ড কবে হাতে ধরা যাবে?,বিদেশে এনরোলমেন্টের পর কার্ড কবে পাওয়া সম্ভব?,nrb_application_status,nrb_application_status,0.950680,0.997679,sts+classifier,এম্বাসিতে এনরোলমেন্টের পর কার্ড কবে হাতে ধরা যাবে?,nrb_application_status,1,1,nrb_application_status,1.000000,sts+classifier,nrb_application_status|new_voter_card_getting_time|foreign_resident_card_collection|foreign_resident_action_after_biometrics_new|online_application_pending|correction_application_status|foreign_resident_card_registration_required_documents|photo_done_years_ago_but_no_card|foreign_resident_card_registration_rejected|reissue_apply_why_pending_and_urgent_reissue_seven_days_over|card_avail_after_address_change|foreign_resident_nid_adjudication_pending|address_change_sms_to_mobile_how_many_days_to_get_approved|voter_migration_done_now_what_to_do_for_reissue|foreign_resident_card_registration_process|present_address_change_process_duration|sms_after_picture_how_many_days|foreign_resident_card_registration_query_country_limitation|receipt_lost_how_to_get_new_card|permanent_address_change_process_duration|foreign_resident_card_picture_done__inquery_done_no_msg_new|smart_card_distributed_in_my_area_but_my_card_not_received|smart_card_status|foreign_resident_passport_expaired_card_registration_process|nid_digit_format_missmatch_in_passport,1.000000|0.048178|0.026738|0.000576|0.000121|0.000026|0.000013|0.000012|0.000011|0.000007|0.000007|0.000004|0.000003|0.000002|0.000002|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|sts+classifier|sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
আমার কার্ডে স্বাক্ষর আপডেট করার জন্য কী কী লাগে?,"আমি আমার কার্ডে স্বাক্ষর আপডেট করতে চাই, কীভাবে করব?",signature_correction,signature_correction,0.968704,0.999991,sts+classifier,আমার কার্ডে স্বাক্ষর আপডেট করার জন্য কী কী লাগে?,signature_correction,1,1,signature_correction,1.000000,sts+classifier,signature_correction|photo_signature_change_application_not_approved|photo_correction|name_correction_in_nid_card|online_portal_registration|birth_certificate_number_correct_or_add_document_new|cell_phone_number_correct_or_add_document_new|spouse_name_correction_new|card_correction_fees|sms_after_picture_how_many_days|new_voter_apply_online_what_documents_needed|foreign_resident_action_after_biometrics_new|new_voter_online_what_documents_to_submit|card_information_correction|correction_fee_payment|how_to_apply_for_correction_in_online_portal|reissue_supporting_document|way_to_cancel_correction_application|card_damaged_how_to_get_new_card|permanent_address_new|goodbye|present_and_permanent_address_generic_new|eight_hours_time_up|online_card_correction|passport_number_correct_or_add_document_new,1.000000|0.000008|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
NID কপি ডাউনলোডে আপডেটেড ঠিকানা না এলে কী করতে হবে?,এনআইডি কপি ডাউনলোডে আপডেটেড নাম না এলে কোথায় যাব?,previous_information_in_downloaded_card_after_correction,previous_information_in_downloaded_card_after_correction,0.971792,0.986668,sts+classifier,NID কপি ডাউনলোডে আপডেটেড ঠিকানা না এলে কী করতে হবে?,previous_information_in_downloaded_card_after_correction,1,1,previous_information_in_downloaded_card_after_correction,1.000000,sts+classifier,previous_information_in_downloaded_card_after_correction|no_download_option_after_correction|address_change_card_download_process|voter_area_change_not_reflected|updated_nid_after_correction|new_voter_can_not_download_card_with_form_number|online_card_correction_application_done_now_what|voter_area_change_ongoing|old_birth_certificate|all_documents_correct_but_application_rejected_why|nid_information_misentry_correction_procedure|address_cahgne_but_no_post_office_or_office_code|correction_applied_more_correction_needed|face_verification_no_next_option|way_to_cancel_correction_application|new_card_got_old_card_found_what_to_do|correction_applied_but_no_category|correction_slip_lost_can_get_card|smart_card_selected_but_get_pdf|new_voter_application_cancelled|new_voter_application_not_submitted_to_upazila_or_thana_office|photo_signature_change_application_not_approved|card_avail_after_address_change|voter_migration_done_now_what_to_do_for_reissue|voter_halnagad_registration_not_done,1.000000|0.012511|0.000660|0.000302|0.000011|0.000009|0.000005|0.000002|0.000002|0.000001|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
NID ঠিকানা সংশোধনের আবেদন করেছি—এসএমএস পাওয়া গেছে; এপ্রুভ হতে কতদিন?,NID পোর্টালে ঠিকানা সংশোধন করেছি—এসএমএস পেয়েছি; অনুমোদন কখন?,address_change_sms_to_mobile_how_many_days_to_get_approved,address_change_sms_to_mobile_how_many_days_to_get_approved,0.967546,0.999996,sts+classifier,NID ঠিকানা সংশোধনের আবেদন করেছি—এসএমএস পাওয়া গেছে; এপ্রুভ হতে কতদিন?,address_change_sms_to_mobile_how_many_days_to_get_approved,1,1,address_change_sms_to_mobile_how_many_days_to_get_approved,1.000000,sts+classifier,address_change_sms_to_mobile_how_many_days_to_get_approved|present_address_change_process_duration|voter_area_change_not_reflected|correction_messages_but_no_update_in_card_no_approve|voter_area_change_ongoing|foreign_resident_card_picture_done__inquery_done_no_msg_new|permanent_address_change_process_duration|address_cahgne_but_no_post_office_or_office_code|smart_card_printing_status_sms_how|foreign_resident_nid_adjudication_pending|card_avail_after_address_change|nrb_application_status|ten_digit_nid_password_changing_problem|address_change_online_new|reigister_as_new_voter_but_birth_registration_different_address|new_voter_no_messages_from_upzila_or_thana|sms_after_picture_how_many_days|photo_signature_change_application_not_approved|address_change_counselor_chairperson_signature|correction_application_status|permanent_address_change_fees|one_mobile_number_how_many_time_registration|online_card_correction_application_done_now_what|address_change_card_download_process|together_present_and_permanent_address_change,1.000000|0.000002|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
"এম্বাসিতে বায়োমেট্রিক্স সম্পন্ন করেছি, এখন করণীয় কী?","এম্বাসিতে বায়োমেট্রি শেষ করেছি, এখন কীভাবে জানতে পারি?",foreign_resident_action_after_biometrics_new,foreign_resident_action_after_biometrics_new,0.975537,0.999998,sts+classifier,"এম্বাসিতে বায়োমেট্রিক্স সম্পন্ন করেছি, এখন করণীয় কী?",foreign_resident_action_after_biometrics_new,1,1,foreign_resident_action_after_biometrics_new,1.000000,sts+classifier,foreign_resident_action_after_biometrics_new|finderprint_adjudication_pending|foreign_resident_card_collection|fingerprint_error_info_not_found|nrb_application_status|closing_statement|request_for_feedback_or_suggestions|foreign_resident_card_registration_required_documents|nid_information_misentry_correction_procedure|signature_correction|blood_group_correction|picture_done_but_lost_or_no_sms_slip|agent_calling|correction_application_status|qr_code_clarification|how_to_complain_not_getting_help_from_election_office|photo_correction|font_problem_in_new_voter_registration_form|photo_signature_change_application_not_approved|correction_applied_more_correction_needed|smart_card_status|new_voter_apply_online_what_documents_needed|foreign_resident_nid_adjudication_pending|present_and_permanent_address_generic_new|present_address_change_process_duration,1.000000|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
প্রবাসীদের জন্য এনআইডি নিবন্ধনের প্রয়োজনীয় নথির তালিকা কী?,প্রবাসীদের এনআইডি রেজিস্ট্রেশনে কি কি নথি অপরিহার্য?,foreign_resident_card_registration_required_documents,foreign_resident_card_registration_required_documents,0.964434,0.777288,sts+classifier,প্রবাসীদের জন্য এনআইডি নিবন্ধনের প্রয়োজনীয় নথির তালিকা কী?,foreign_resident_card_registration_required_documents,1,1,foreign_resident_card_registration_required_documents,0.744243,sts+classifier,foreign_resident_card_registration_required_documents|nrb_application_status|foreign_resident_card_registration_query_country_limitation|foreign_resident_nid_adjudication_pending|foreign_resident_multiple_registration_new|foreign_resident_card_registration_rejected|foreign_resident_card_collection|foreign_resident_card_picture_done_not_inquery_from_upzilla_new|foreign_resident_passport_expaired_card_registration_process|new_voter_fees|necessary_documents_to_modify_voter_area|foreign_resident_action_after_biometrics_new|passport_number_correct_or_add_document_new|nid_opportunity_for_foreign_spouse|bkash_mfs_payment_process|new_voter_pre_condition|voter_area_change|new_voter_online_what_documents_to_submit|foreign_resident_card_picture_done__inquery_done_no_msg_new|new_voter_identifier_who|photo_done_years_ago_but_no_card|card_avail_after_address_change|online_portal_registration|wish_to_create_nid_smart_card_new,0.744243|0.000543|0.000041|0.000007|0.000004|0.000002|0.000002|0.000002|0.000001|0.000001|0.000001|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,23
