expected_tag,predicted_tag,count
account_locked,account_locked,28
account_locked,account_locked_retrials,10
account_locked_retrials,account_locked,1
account_locked_retrials,account_locked_retrials,34
account_locked_retrials,account_locked_unlock_request,2
account_locked_retrials,eight_hours_time_up,1
account_locked_unlock_request,account_locked_unlock_request,38
address_cahgne_but_no_post_office_or_office_code,address_cahgne_but_no_post_office_or_office_code,38
address_change_card_download_process,address_change_card_download_process,35
address_change_card_download_process,card_avail_after_address_change,1
address_change_card_download_process,card_lost_no_info_how_to_get_new,1
address_change_card_download_process,no_download_option_after_correction,1
address_change_counselor_chairperson_signature,address_change_counselor_chairperson_signature,38
address_change_online_new,address_change_online_new,35
address_change_online_new,persent_address_correction_procedure,3
address_change_sms_to_mobile_how_many_days_to_get_approved,address_change_sms_to_mobile_how_many_days_to_get_approved,38
age_and_dob_correction,age_and_dob_correction,34
age_and_dob_correction,birthplace_correction_new,1
age_and_dob_correction,educational_qualification_correction,1
age_and_dob_correction,new_voter_apply_online_what_documents_needed,1
age_and_dob_correction,old_birth_certificate,1
agent_calling,agent_calling,38
all_documents_correct_but_application_rejected_why,all_documents_correct_but_application_rejected_why,38
ask_if_any_other_questions,ask_if_any_other_questions,34
ask_if_any_other_questions,request_for_clear_pronunciation,4
birth_certificate_and_ssc_certificate_different_information,age_and_dob_correction,1
birth_certificate_and_ssc_certificate_different_information,birth_certificate_and_ssc_certificate_different_information,37
birth_certificate_number_correct_or_add_document_new,birth_certificate_number_correct_or_add_document_new,38
birthplace_correction_new,birthplace_correction_new,38
bkash_mfs_payment_process,bkash_mfs_payment_process,36
bkash_mfs_payment_process,rocket_mfs_payment_process,2
blood_group_correction,blood_group_correction,37
blood_group_correction,name_correction_in_nid_card,1
card_avail_after_address_change,address_change_card_download_process,1
card_avail_after_address_change,card_avail_after_address_change,35
card_avail_after_address_change,permanent_address_change_fees,1
card_avail_after_address_change,voter_area_change,1
card_correction_fees,card_correction_fees,37
card_correction_fees,card_correction_request_failed_query_regarding_repayment_fees,1
card_correction_fees_payment_reference_nid_number_query,card_correction_fees_payment_reference_nid_number_query,38
card_correction_one_information_maximum_limit,card_correction_one_information_maximum_limit,37
card_correction_one_information_maximum_limit,service_provided,1
card_correction_request_canceled_by_consumer_regarding_refund_fees,card_correction_request_canceled_by_consumer_regarding_refund_fees,28
card_correction_request_canceled_by_consumer_regarding_refund_fees,card_correction_request_failed_query_regarding_refund_fees,10
card_correction_request_failed_query_regarding_refund_fees,card_correction_request_canceled_by_consumer_regarding_refund_fees,10
card_correction_request_failed_query_regarding_refund_fees,card_correction_request_failed_query_regarding_refund_fees,27
card_correction_request_failed_query_regarding_refund_fees,card_correction_request_failed_query_regarding_repayment_fees,1
card_correction_request_failed_query_regarding_repayment_fees,card_correction_fees,1
card_correction_request_failed_query_regarding_repayment_fees,card_correction_request_failed_query_regarding_repayment_fees,22
card_correction_request_failed_query_regarding_repayment_fees,correction_application_rejected_need_new_fee,14
card_correction_request_failed_query_regarding_repayment_fees,correction_fee_payment,1
card_damaged_how_to_get_new_card,card_damaged_how_to_get_new_card,34
card_damaged_how_to_get_new_card,nid_adjudication_pending,1
card_damaged_how_to_get_new_card,smart_card_lost_how_to_get_new_one_again,1
card_damaged_how_to_get_new_card,voter_slip_lost_how_to_get_nid,2
card_information_correction,age_and_dob_correction,1
card_information_correction,card_information_correction,20
card_information_correction,correction_application_current_status,2
card_information_correction,how_to_apply_for_correction_in_online_portal,4
card_information_correction,nid_information_misentry_correction_procedure,4
card_information_correction,online_card_correction,5
card_information_correction,signature_correction,1
card_information_correction,way_to_cancel_correction_application,1
card_lock,card_lock,38
card_lost_and_damaged_cost,card_damaged_how_to_get_new_card,1
card_lost_and_damaged_cost,card_lost_and_damaged_cost,34
card_lost_and_damaged_cost,card_lost_new_card_fee,3
card_lost_new_card_fee,card_lost_and_damaged_cost,3
card_lost_new_card_fee,card_lost_new_card_fee,33
card_lost_new_card_fee,card_reissue_fees,1
card_lost_new_card_fee,online_application_pending,1
card_lost_no_info_how_to_get_new,card_lost_no_info_how_to_get_new,37
card_lost_no_info_how_to_get_new,voter_slip_lost_how_to_get_nid,1
card_reissue_fees,card_reissue_fees,37
